,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Other noninterest expense,"7,325 ","8,480 ","8,085 ","11,010 ","9,065 ","10,546 ","10,540 ","12,634 ","11,310 ","13,293 ","12,958 ","16,687 ","11,598 ","13,268 ","12,481 ","14,291 ","12,665 ","12,981 ","12,821 ","14,403 ","12,640 ","13,871 ","14,453 ","16,584 ","13,840 ","14,479 ","14,832 ","17,209 ","15,064 ","16,180 ","17,058 ","19,539 ","16,530 ","17,716 ","18,006 ","19,425 ","18,984 ","20,710 ","18,287 ","19,350 ","17,604 ","18,470 ","18,333 ","20,451 ","18,771 ","19,005 ","17,792 ","20,144 ","20,794 ","19,553 ","23,634 ","21,240 ","19,482 ","20,410 ","21,863 ","22,552 ","22,917 ","23,322 ","24,189 ","29,641 ","24,235 ","25,110 ","24,615 ","28,505 ","25,121 ","29,152 ","27,665 ","28,891 ","25,886 ","25,825 ","26,800 ","28,114 ","25,825 ","26,536 ","26,692 ","30,299 ","25,763 ","27,978 ","28,708 ","30,720 ","30,143 ","33,180 ","31,282 ","34,149 ","30,049 ","33,367 ","32,150 ","33,450 ","32,632 ","34,506 ","34,766 ","30,965 ","33,376 ","36,270 ","36,087 ","41,307 ","33,855 ","37,701 ","37,326 ","43,020 ","36,044 ","43,261 ","35,933 ","42,749 ","40,200 ","41,071 ","41,314 ","45,080 ","43,636 ","45,842 ","43,067 ","47,205 ","46,015 ","44,623 ","45,253 ","48,175 ","40,687 ","41,893 ","47,681 ","43,447 ","41,185 ","44,785 ","46,796 ","48,482 ","41,574 ","43,274 ","44,436 ","44,056 ","41,934 ","42,800 ","44,110 ","44,924 ","42,736 ","43,723 ","44,380 ","53,695 ","47,497 ","46,666 ","47,267 ","51,135 ","45,859 ","46,390 ","48,697 ","51,724 ","49,208 ","47,923 ","49,480 ","50,992 ","46,975 ","50,915 ","52,470 ","56,299 ","54,214 ","57,120 ","59,640 ","55,669 ","56,236 ","60,159 ","58,504 ","78,921 "
    Amortization expense and goodwill impairment losses,198 ,242 ,232 ,280 ,267 ,284 ,293 ,343 ,323 ,338 ,344 ,420 ,345 ,361 ,358 ,418 ,483 ,515 ,496 ,555 ,465 ,529 ,"1,607 ","1,212 ",815 ,578 ,568 ,911 ,669 ,661 ,804 ,698 ,659 ,852 ,913 ,924 ,"1,011 ",851 ,"1,041 ",987 ,792 ,919 ,944 ,"1,074 ",945 ,983 ,"1,202 ","1,242 ","1,216 ","1,502 ","1,457 ","1,507 ","1,309 ","1,384 ","1,430 ","1,524 ","1,606 ","1,717 ","1,961 ","2,625 ","1,859 ","1,907 ","1,743 ","1,997 ","1,898 ","2,141 ","2,069 ","2,039 ","1,940 ","2,172 ","1,996 ","2,197 ","1,194 ","1,326 ","1,592 ","1,321 ","1,342 ","1,439 ","1,230 ","1,449 ","1,527 ","1,368 ","1,940 ","2,135 ","1,864 ","2,003 ","1,899 ","1,954 ","2,438 ","2,073 ","2,042 ","1,591 ","2,001 ","2,139 ","3,096 ","11,490 ","2,800 ","4,475 ","4,881 ","23,402 ","19,436 ","12,181 ","4,207 ","5,545 ","2,435 ","2,851 ","2,591 ","3,598 ","2,095 ","2,418 ","2,106 ","4,477 ","1,851 ","1,957 ","2,032 ","2,285 ","1,797 ","6,215 ","1,740 ","2,168 ","1,621 ","1,887 ","2,799 ","1,536 ","1,441 ","1,691 ","2,076 ","1,454 ","1,312 ","1,322 ","1,368 ","2,145 ","1,336 ","1,294 ","1,253 ","1,634 ","1,214 ","1,209 ","1,264 ","1,269 ",958 ,974 ,"2,982 ","1,506 ","9,430 ","3,566 ","1,717 ","1,555 ","1,059 ",989 ,951 ,961 ,"1,081 ",963 ,997 ,"1,334 ","2,579 ","1,568 ","1,800 ","7,601 "
Securities gains (losses),505 ,363 ,457 ,"1,109 ","1,036 ","2,245 ","1,661 ","2,507 ","3,439 ","2,956 ","2,514 ","3,028 ","2,373 ","1,010 ",664 ,137 ,"1,107 ",527 ,508 ,253 ,542 ,510 ,611 ,441 ,238 ,180 ,263 ,500 ,929 ,757 ,"1,130 ","2,316 ","1,762 ","1,231 ","2,125 ","1,451 ","1,470 ","1,268 ","1,492 ",835 ,860 ,177 ,(307),"(1,107)",(89),502 ,333 ,188 ,832 ,261 ,333 ,654 ,661 ,594 ,416 ,"1,426 ","1,441 ","1,232 ","1,331 ","1,615 ","1,164 ",587 ,78 ,(135),(560),(885),(596),539 ,"2,002 ","1,907 ","2,332 ","2,691 ","1,357 ","2,312 ","4,342 ","4,123 ","3,709 ","4,868 ","2,164 ",726 ,"2,600 ","1,645 ","2,453 ",709 ,845 ,"2,257 ","1,238 ",562 ,671 ,278 ,864 ,517 ,"1,585 ",578 ,77 ,"(3,663)","1,234 ","(2,309)","(7,775)","(8,416)","1,639 ",(927),"(4,102)",(20),"1,593 ","2,141 ","3,181 ","2,249 ",(124),829 ,"3,092 ","1,755 ","3,014 ","2,536 ","2,717 ","1,514 ","2,071 ","1,371 ",543 ,497 ,827 ,770 ,755 ,862 ,"1,309 ",754 ,838 ,852 ,940 ,"1,363 ",867 ,632 ,549 ,772 ,825 ,24 ,240 ,176 ,130 ,(230),870 ,"1,121 ",(956),"2,899 ","1,755 ","2,503 ","2,479 ","1,518 ","1,395 ",735 ,338 ,574 ,(588),(307),"(1,318)","(1,742)","(2,176)","(1,239)","(4,241)","(3,848)"
Income (loss) before income taxes and extraordinary items,"5,924 ","5,835 ","5,791 ","4,571 ","7,283 ","8,014 ","8,820 ","6,859 ","9,746 ","7,315 ","7,841 ","3,903 ","9,063 ","(10,772)","7,086 ",360 ,"4,439 ","4,577 ","7,664 ","5,557 ","11,323 ","9,291 ","(1,494)",(943),"8,067 ","7,239 ","4,236 ","(1,325)","8,701 ","7,053 ","6,668 ","5,484 ","13,150 ","13,885 ","14,941 ","13,461 ","16,640 ","17,890 ","19,293 ","18,281 ","19,481 ","19,494 ","21,349 ","17,753 ","19,715 ","21,514 ","24,915 ","21,205 ","22,172 ","24,770 ","20,421 ","24,202 ","26,260 ","26,336 ","26,226 ","26,352 ","27,609 ","29,012 ","27,478 ","25,262 ","31,880 ","31,121 ","34,747 ","30,909 ","34,276 ","27,358 ","33,476 ","30,239 ","34,717 ","34,325 ","31,723 ","32,591 ","39,068 ","40,259 ","40,935 ","37,149 ","44,241 ","45,005 ","45,487 ","45,277 ","47,007 ","46,395 ","47,487 ","46,308 ","50,739 ","49,375 ","51,686 ","47,349 ","54,423 ","56,884 ","55,920 ","47,877 ","53,442 ","54,981 ","43,102 ",(948),"28,379 ","7,184 ","2,571 ","(54,713)","(1,048)","(8,462)","2,481 ",(632),"24,977 ","31,325 ","34,973 ","31,678 ","41,565 ","42,091 ","48,769 ","35,836 ","49,997 ","50,520 ","52,981 ","46,881 ","59,404 ","56,971 ","51,678 ","56,973 ","55,009 ","58,389 ","56,286 ","51,565 ","57,757 ","61,501 ","58,836 ","57,029 ","56,314 ","63,956 ","65,981 ","61,650 ","62,690 ","70,367 ","69,680 ","60,823 ","70,843 ","77,139 ","78,318 ","72,514 ","76,365 ","78,413 ","73,291 ","68,959 ","24,369 ","20,160 ","65,719 ","74,181 ","97,528 ","90,440 ","87,935 ","77,510 ","75,013 ","81,795 ","90,593 ","84,794 ","97,460 ","87,918 ","84,644 ","46,117 "
Applicable income taxes,"1,418 ","1,782 ","1,311 ","1,205 ","1,938 ","2,136 ","2,333 ","1,884 ","2,699 ","2,558 ","2,712 ","1,640 ","3,276 ","1,185 ","2,907 ","1,974 ","3,126 ","3,227 ","3,392 ","3,223 ","3,683 ","3,353 ","2,296 ","1,389 ","2,938 ","2,588 ","2,334 ","1,164 ","3,113 ","2,990 ","2,810 ","2,209 ","4,214 ","4,629 ","4,971 ","4,432 ","5,543 ","5,952 ","6,373 ","6,052 ","6,932 ","6,519 ","7,365 ","5,504 ","6,888 ","7,585 ","8,616 ","7,345 ","7,672 ","8,377 ","7,052 ","8,386 ","9,373 ","9,317 ","9,460 ","8,806 ","9,625 ","10,085 ","9,422 ","8,336 ","11,198 ","11,346 ","12,532 ","10,741 ","11,869 ","10,035 ","11,643 ","10,110 ","11,622 ","11,839 ","10,941 ","10,354 ","13,277 ","13,160 ","13,627 ","12,031 ","14,715 ","14,835 ","15,129 ","14,565 ","15,354 ","15,270 ","14,927 ","15,352 ","16,717 ","16,152 ","16,934 ","15,100 ","17,714 ","19,153 ","17,980 ","14,717 ","17,125 ","17,906 ","13,403 ","(1,189)","8,983 ","2,066 ",592 ,"(14,323)","4,747 ",369 ,131 ,796 ,"7,432 ","10,036 ","10,739 ","10,221 ","12,773 ","13,509 ","13,824 ","10,432 ","15,141 ","15,734 ","15,315 ","12,245 ","18,787 ","18,520 ","15,729 ","17,042 ","17,629 ","18,064 ","17,656 ","14,938 ","17,830 ","18,378 ","18,295 ","16,307 ","17,289 ","20,138 ","20,308 ","18,414 ","18,767 ","22,230 ","21,843 ","35,293 ","14,907 ","16,786 ","16,332 ","13,062 ","15,582 ","16,016 ","15,878 ","14,006 ","5,811 ","1,570 ","14,491 ","14,648 ","20,684 ","20,045 ","18,391 ","13,628 ","15,207 ","17,074 ","18,856 ","16,542 ","17,582 ","17,016 ","16,220 ","8,455 "
"Extraordinary gains (losses), net",32 ,40 ,80 ,92 ,68 ,181 ,38 ,38 ,129 ,84 ,92 ,129 ,123 ,49 ,78 ,30 ,147 ,316 ,166 ,232 ,23 ,162 ,142 ,21 ,468 ,1 ,91 ,224 ,352 ,312 ,218 ,(49),312 ,94 ,87 ,233 ,"2,102 ",146 ,(230),162 ,(198),(9),(262),24 ,39 ,(12),(242),(80),71 ,21 ,(250),(0),7 ,28 ,7 ,3 ,530 ,(11),(26),(76),(37),0 ,(1),211 ,23 ,(2),(24),(32),(368),(31),70 ,(401),(77),115 ,(41),(48),(20),21 ,23 ,401 ,186 ,28 ,(104),69 ,5 ,7 ,(91),332 ,193 ,281 ,101 ,"2,094 ",(689),(223),(995),241 ,(132),(366),"1,098 ","4,703 ",(31),"(3,624)",31 ,(162),58 ,(231),(330),60 ,106 ,132 ,528 ,161 ,114 ,(126),(44),(128),(73),(24),258 ,52 ,74 ,(71),(68),9 ,43 ,33 ,(28),(37),(9),(196),(89),(28),(3),19 ,119 ,(222),(8),(180),(39),(40),(8),176 ,(2),(3),(26),(79),(5),9 ,(0),28 ,3 ,16 ,(0),(249),(11),28 ,5 ,0 ,48 ,825 
Net income (loss) attributable to bank,"4,539 ","4,091 ","4,560 ","3,458 ","5,413 ","6,058 ","6,524 ","5,012 ","7,176 ","4,841 ","5,220 ","2,392 ","5,910 ","(11,908)","4,256 ","(1,584)","1,460 ","1,666 ","4,438 ","2,566 ","7,662 ","6,099 ","(3,648)","(2,311)","5,589 ","4,647 ","1,996 ","(2,264)","5,940 ","4,375 ","4,076 ","3,226 ","9,248 ","9,350 ","10,056 ","9,262 ","13,199 ","12,084 ","12,689 ","12,391 ","12,350 ","12,966 ","13,722 ","12,272 ","12,866 ","13,917 ","16,058 ","13,780 ","14,571 ","16,414 ","13,120 ","15,816 ","16,895 ","17,047 ","16,773 ","17,549 ","18,514 ","18,916 ","18,030 ","16,850 ","20,645 ","19,775 ","22,214 ","20,379 ","22,430 ","17,321 ","21,809 ","20,097 ","22,727 ","22,454 ","20,852 ","21,836 ","25,714 ","27,214 ","27,267 ","25,070 ","29,507 ","30,191 ","30,381 ","31,113 ","31,838 ","31,153 ","32,456 ","31,025 ","34,027 ","33,229 ","34,660 ","32,581 ","36,902 ","38,012 ","38,040 ","35,254 ","35,628 ","36,853 ","28,704 ",481 ,"19,264 ","4,753 ","3,077 ","(35,687)","(6,088)","(12,610)","2,125 ","(1,725)","17,410 ","20,878 ","23,775 ","21,365 ","28,737 ","28,532 ","35,248 ","25,307 ","34,800 ","34,451 ","37,489 ","34,407 ","40,345 ","38,198 ","36,069 ","39,762 ","37,260 ","40,076 ","38,451 ","36,488 ","39,816 ","43,011 ","40,403 ","40,606 ","38,938 ","43,523 ","45,517 ","43,109 ","43,829 ","48,068 ","47,870 ","25,238 ","55,836 ","60,114 ","61,877 ","59,343 ","60,711 ","62,508 ","57,349 ","54,899 ","18,488 ","18,467 ","51,136 ","59,480 ","76,775 ","70,378 ","69,492 ","63,864 ","59,750 ","64,410 ","71,661 ","68,215 ","79,786 ","70,771 ","68,385 ","38,392 "
Net income (loss) attributable to noncontrolling interests,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,262 ,155 ,257 ,134 ,193 ,181 ,129 ,152 ,160 ,182 ,225 ,259 ,170 ,209 ,133 ,101 ,198 ,229 ,138 ,220 ,193 ,178 ,111 ,148 ,153 ,145 ,110 ,79 ,77 ,98 ,66 ,99 ,91 ,88 ,87 ,70 ,92 ,58 ,71 ,69 ,64 ,65 ,62 ,51 ,44 ,43 ,87 ,62 ,69 ,46 ,55 ,34 ,56 ,62 ,65 ,65 ,97 ,132 ,88 ,95 
Net income (loss) attributable to bank and noncontrolling interests,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(5,826)","(12,455)","2,381 ","(1,590)","17,603 ","21,058 ","23,904 ","21,517 ","28,897 ","28,714 ","35,473 ","25,565 ","34,970 ","34,660 ","37,622 ","34,508 ","40,543 ","38,427 ","36,207 ","39,982 ","37,453 ","40,254 ","38,562 ","36,636 ","39,970 ","43,156 ","40,513 ","40,684 ","39,015 ","43,621 ","45,583 ","43,208 ","43,920 ","48,156 ","47,956 ","25,308 ","55,928 ","60,172 ","61,947 ","59,412 ","60,775 ","62,573 ","57,411 ","54,950 ","18,532 ","18,511 ","51,223 ","59,542 ","76,844 ","70,424 ","69,547 ","63,899 ","59,806 ","64,472 ","71,726 ","68,280 ","79,883 ","70,903 ","68,472 ","38,487 "
Net charge-offs,"1,686 ","2,775 ","2,828 ","3,666 ","2,194 ","2,902 ","3,323 ","5,004 ","3,046 ","4,024 ","4,254 ","5,623 ","3,311 ","3,733 ","3,804 ","6,020 ","4,088 ","5,336 ","4,681 ","5,911 ","3,653 ","5,341 ","5,057 ","10,400 ","7,607 ","9,647 ","7,147 ","10,667 ","7,443 ","10,267 ","9,818 ","10,953 ","7,435 ","7,224 ","7,644 ","8,339 ","5,228 ","6,146 ","4,853 ","6,036 ","3,398 ","4,033 ","3,252 ","3,884 ","2,778 ","3,364 ","3,794 ","4,552 ","4,105 ","4,343 ","4,327 ","5,085 ","4,538 ","4,948 ","5,318 ","5,558 ","5,089 ","5,184 ","5,990 ","6,207 ","5,292 ","4,876 ","5,148 ","6,362 ","5,393 ","5,645 ","6,037 ","9,297 ","7,471 ","8,470 ","9,844 ","13,487 ","11,577 ","11,300 ","12,003 ","12,214 ","10,353 ","10,250 ","9,600 ","10,690 ","8,747 ","8,174 ","7,446 ","9,102 ","7,170 ","6,694 ","8,351 ","9,917 ","5,477 ","6,061 ","7,138 ","8,509 ","8,200 ","8,946 ","10,870 ","16,462 ","19,644 ","26,386 ","27,980 ","37,271 ","37,896 ","49,178 ","50,977 ","54,988 ","53,251 ","49,718 ","43,966 ","42,410 ","33,484 ","28,852 ","26,738 ","25,650 ","21,628 ","20,307 ","22,199 ","18,472 ","15,889 ","14,060 ","11,674 ","12,050 ","10,368 ","10,067 ","9,267 ","9,918 ","9,006 ","8,942 ","8,678 ","10,762 ","10,135 ","10,119 ","10,139 ","12,114 ","11,520 ","11,232 ","10,991 ","13,201 ","12,068 ","11,685 ","11,164 ","12,617 ","12,735 ","12,796 ","13,089 ","13,974 ","14,607 ","15,573 ","12,696 ","11,311 ","9,234 ","7,292 ","5,279 ","5,720 ","6,289 ","6,688 ","7,672 ","10,890 ","12,427 ","14,742 ","15,654 ","20,136 "
Cash dividends,"1,720 ","2,093 ","1,630 ","2,673 ","2,104 ","2,077 ","1,813 ","3,030 ","2,128 ","2,147 ","2,132 ","3,582 ","2,481 ","2,566 ","2,682 ","4,269 ","3,505 ","3,172 ","3,145 ","4,833 ","3,546 ","3,971 ","3,742 ","4,487 ","3,529 ","3,744 ","3,280 ","4,624 ","4,478 ","3,478 ","3,008 ","5,191 ","3,226 ","3,518 ","3,413 ","6,311 ","4,949 ","4,943 ","5,704 ","8,940 ","5,762 ","6,421 ","7,384 ","11,286 ","7,087 ","7,604 ","7,804 ","12,756 ","8,789 ","9,539 ","12,394 ","14,677 ","9,759 ","10,554 ","9,783 ","17,764 ","10,437 ","10,550 ","12,412 ","14,398 ","10,426 ","14,986 ","14,602 ","18,464 ","13,011 ","12,976 ","13,807 ","20,089 ","14,641 ","14,289 ","14,803 ","17,656 ","21,153 ","16,197 ","18,034 ","20,338 ","17,529 ","24,590 ","20,499 ","28,251 ","14,839 ","18,322 ","17,641 ","18,400 ","15,379 ","18,291 ","21,093 ","18,712 ","18,874 ","21,663 ","19,910 ","34,155 ","26,186 ","40,868 ","27,914 ","20,747 ","13,992 ","17,747 ","10,989 ","8,520 ","7,243 ","6,141 ","20,094 ","13,768 ","4,374 ","12,936 ","13,322 ","23,283 ","15,138 ","20,314 ","19,827 ","22,703 ","20,943 ","19,541 ","20,447 ","35,558 ","14,413 ","20,934 ","22,181 ","34,734 ","20,023 ","21,815 ","25,599 ","22,960 ","22,295 ","29,353 ","25,783 ","27,312 ","20,730 ","23,287 ","30,555 ","28,624 ","27,319 ","28,376 ","35,924 ","30,258 ","30,598 ","37,813 ","43,843 ","52,824 ","38,649 ","48,651 ","47,770 ","49,223 ","32,684 ","14,035 ","15,828 ","21,830 ","23,880 ","36,570 ","54,700 ","41,499 ","28,908 ","29,026 ","37,874 ","57,165 ","44,245 ","50,999 ","45,827 ","72,239 "
Retained earnings,"2,818 ","1,998 ","2,929 ",785 ,"3,309 ","3,981 ","4,711 ","1,982 ","5,048 ","2,694 ","3,089 ","(1,190)","3,429 ","(14,474)","1,574 ","(5,853)","(2,045)","(1,506)","1,293 ","(2,267)","4,117 ","2,129 ","(7,390)","(6,798)","2,060 ",903 ,"(1,284)","(6,888)","1,462 ",897 ,"1,068 ","(1,965)","6,022 ","5,832 ","6,644 ","2,951 ","8,250 ","7,140 ","6,985 ","3,451 ","6,588 ","6,545 ","6,338 ",986 ,"5,779 ","6,314 ","8,254 ","1,024 ","5,782 ","6,875 ",726 ,"1,139 ","7,136 ","6,493 ","6,989 ",(215),"8,076 ","8,365 ","5,618 ","2,453 ","10,219 ","4,789 ","7,612 ","1,915 ","9,419 ","4,345 ","8,002 ",8 ,"8,086 ","8,165 ","6,049 ","4,180 ","4,561 ","11,017 ","9,233 ","4,732 ","11,977 ","5,601 ","9,881 ","2,862 ","16,999 ","12,831 ","14,815 ","12,625 ","18,648 ","14,938 ","13,567 ","13,869 ","18,029 ","16,348 ","18,130 ","1,098 ","9,442 ","(4,015)",790 ,"(20,266)","5,272 ","(12,995)","(7,911)","(44,207)","(13,330)","(18,751)","(17,969)","(15,492)","13,036 ","7,941 ","10,453 ","(1,918)","13,599 ","8,218 ","15,421 ","2,604 ","13,857 ","14,910 ","17,041 ","(1,151)","25,932 ","17,265 ","13,888 ","5,028 ","17,237 ","18,261 ","12,852 ","13,528 ","17,521 ","13,659 ","14,621 ","13,294 ","18,209 ","20,236 ","14,963 ","14,485 ","16,510 ","19,692 ","11,946 ","(5,020)","25,237 ","22,302 ","18,034 ","6,519 ","22,062 ","13,857 ","9,579 ","5,676 ","(14,196)","4,432 ","35,308 ","37,650 ","52,895 ","33,807 ","14,792 ","22,365 ","30,842 ","35,384 ","33,787 ","11,050 ","35,541 ","19,773 ","22,558 ","(33,847)"
Net operating income,"4,061 ","3,721 ","4,083 ","2,488 ","4,474 ","4,058 ","5,143 ","3,015 ","4,282 ","2,399 ","3,099 ",(211),"4,000 ","(12,851)","3,644 ","(1,650)",454 ,963 ,"3,905 ","2,196 ","7,238 ","5,568 ","(4,233)","(2,649)","4,951 ","4,535 ","1,701 ","(2,897)","4,882 ","3,495 ","2,952 ","1,440 ","7,640 ","8,323 ","8,388 ","7,921 ","10,040 ","11,026 ","11,843 ","11,601 ","11,951 ","12,845 ","14,209 ","12,979 ","12,897 ","13,598 ","16,068 ","13,765 ","13,939 ","16,158 ","13,138 ","15,372 ","16,441 ","16,610 ","16,470 ","16,574 ","16,993 ","18,091 ","17,198 ","15,792 ","19,894 ","19,419 ","22,185 ","20,248 ","22,770 ","18,080 ","22,480 ","19,418 ","21,710 ","21,140 ","19,295 ","20,426 ","24,858 ","25,557 ","24,396 ","22,333 ","27,017 ","26,884 ","28,899 ","30,160 ","29,861 ","30,011 ","30,721 ","30,575 ","33,435 ","31,743 ","33,902 ","31,877 ","36,277 ","37,549 ","37,401 ","32,896 ","35,227 ","36,704 ","29,668 ","2,458 ","18,834 ","6,100 ","7,513 ","(35,005)","(6,487)","(8,435)","4,519 ","(1,519)","16,341 ","19,767 ","21,749 ","19,582 ","28,971 ","28,421 ","32,156 ","24,057 ","32,660 ","32,890 ","35,559 ","33,438 ","39,102 ","37,479 ","35,589 ","39,641 ","36,790 ","39,790 ","38,072 ","36,019 ","39,001 ","42,597 ","39,972 ","40,098 ","38,358 ","42,869 ","45,057 ","42,793 ","43,546 ","47,598 ","47,271 ","25,457 ","55,741 ","60,213 ","61,883 ","59,654 ","60,083 ","61,492 ","58,168 ","52,631 ","17,062 ","16,444 ","49,299 ","58,152 ","75,711 ","69,812 ","69,266 ","63,416 ","60,286 ","64,974 ","72,797 ","69,859 ","81,700 ","71,939 ","71,798 ","40,841 "
Number of unprofitable institutions,"3,000 ","2,401 ","3,079 ","5,062 ","2,741 ","2,535 ","2,708 ","5,260 ","2,602 ","3,183 ","3,582 ","5,575 ","2,783 ","3,529 ","3,202 ","5,000 ","2,763 ","2,775 ","2,648 ","3,881 ","1,856 ","2,208 ","2,336 ","3,739 ","2,027 ","2,101 ","2,196 ","3,726 ","1,799 ","1,967 ","1,845 ","2,628 ","1,059 ","1,010 ",958 ,"1,765 ",695 ,721 ,660 ,"1,363 ",587 ,619 ,590 ,"1,238 ",478 ,487 ,450 ,995 ,437 ,487 ,"1,697 ","1,034 ",455 ,462 ,492 ,"1,094 ",496 ,546 ,643 ,"1,243 ",630 ,707 ,728 ,"1,202 ",693 ,732 ,738 ,"1,268 ",738 ,828 ,812 ,"1,268 ",669 ,679 ,596 ,"1,036 ",545 ,551 ,615 ,964 ,513 ,553 ,529 ,870 ,477 ,494 ,536 ,861 ,581 ,601 ,665 ,"1,082 ",781 ,843 ,941 ,"1,623 ","1,209 ","1,534 ","2,059 ","2,879 ","1,842 ","2,402 ","2,196 ","2,815 ","1,533 ","1,629 ","1,517 ","2,081 ","1,188 ","1,179 ","1,084 ","1,487 ",775 ,816 ,769 ,"1,065 ",598 ,581 ,597 ,869 ,500 ,454 ,437 ,645 ,364 ,369 ,325 ,591 ,313 ,281 ,279 ,509 ,254 ,246 ,230 ,943 ,230 ,221 ,198 ,389 ,214 ,208 ,228 ,393 ,380 ,286 ,240 ,374 ,192 ,204 ,206 ,389 ,269 ,233 ,169 ,281 ,212 ,239 ,311 ,499 
